time;cpu;memory
Database startup;;1692394582586085;
1692394681938193;33.3;21512
1692394682199105;40.0;21504
1692394682465345;33.3;21504
1692394682624081;33.3;21504
1692394682783625;33.3;21504
1692394682953118;31.2;21504
1692394683208897;26.7;21504
1692394683366946;40.0;21504
1692394683637361;33.3;21504
1692394683796137;33.3;21504
1692394684066199;33.3;21504
1692394684326809;33.3;21504
1692394684485248;33.3;21504
1692394684689095;33.3;21508
1692394684849433;26.7;21508
1692394685151146;33.3;21508
1692394685358054;26.7;21504
1692394685577053;26.7;21504
1692394685735656;33.3;21504
1692394685926202;33.3;21508
1692394686176868;33.3;21508
1692394686446543;26.7;21508
1692394686699204;33.3;21508
1692394686969128;26.7;21508
1692394687219683;40.0;21508
1692394687466307;26.7;21508
1692394687727280;26.7;21508
1692394687987684;26.7;21380
1692394688148101;26.7;21396
1692394688404323;40.0;21396
1692394688562752;25.0;21400
1692394688723467;18.8;21400
1692394688881498;25.0;21404
1692394689140457;33.3;21408
1692394689394480;33.3;21408
1692394689586286;20.0;21408
1692394689745345;26.7;21408
1692394690004950;26.7;21408
1692394690273280;18.8;21408
1692394690438974;33.3;21408
1692394690702572;31.2;21412
1692394690867680;26.7;21412
1692394691139414;33.3;21412
1692394691297504;26.7;21412
1692394691456044;33.3;21412
1692394691707900;33.3;21416
1692394691892014;31.2;21416
1692394692077900;26.7;21416
1692394692278664;26.7;21416
1692394692436738;33.3;21420
1692394692607177;33.3;21420
1692394692861828;37.5;21420
1692394693125308;40.0;21416
1692394693363099;43.8;21416
1692394693626461;33.3;21416
1692394693788355;33.3;21420
1692394694036993;40.0;21420
1692394694296137;33.3;21420
1692394694545619;33.3;21420
1692394694814831;26.7;21420
1692394695063856;20.0;21420
1692394695319672;33.3;21420
1692394695478152;33.3;21424
1692394695731879;31.2;21424
1692394695893050;31.2;21336
1692394696139259;33.3;21352
1692394696383955;33.3;21356
1692394696625526;33.3;21348
1692394696783407;26.7;21352
1692394697023207;31.2;21352
1692394697269581;26.7;21352
1692394697523944;33.3;21352
1692394697682369;31.2;21352
1692394697931358;25.0;21352
1692394698201136;33.3;21356
1692394698362392;37.5;21356
1692394698566533;33.3;21356
1692394698738672;33.3;21356
1692394698897152;40.0;21360
1692394699055089;40.0;21360
1692394699220340;46.7;21360
1692394699393150;37.5;21360
1692394699575643;40.0;21360
1692394699744218;40.0;21360
1692394699906056;40.0;21360
1692394700068645;40.0;21364
1692394700237258;40.0;21368
1692394700401389;31.2;21368
1692394700565601;40.0;21368
1692394700725603;33.3;21328
1692394700887195;33.3;21328
1692394701058365;33.3;21328
1692394701233814;40.0;21328
1692394701408444;40.0;21328
1692394701566242;40.0;21328
1692394701724296;26.7;21328
1692394702057639;33.3;21328
1692394702413516;31.2;21328
1692394702813550;33.3;21332
1692394702972662;25.0;21332
1692394703288531;33.3;21332
1692394703462830;25.0;21332
1692394703643398;33.3;21332
1692394703890091;33.3;21332
1692394704048757;26.7;21296
1692394704217104;26.7;21296
1692394704380232;26.7;21296
1692394704545876;26.7;21296
1692394704755224;33.3;21296
1692394704980919;26.7;21296
1692394705160967;26.7;21296
1692394705328764;33.3;21296
1692394705489316;26.7;21296
1692394705680994;46.7;21296
1692394705839597;33.3;21296
1692394706068782;56.2;21296
1692394706277184;26.7;21296
1692394706458193;26.7;21300
1692394706617181;26.7;21300
1692394706799122;20.0;21300
1692394706958334;33.3;21300
1692394707126435;33.3;21300
1692394707297742;33.3;21300
1692394707459840;26.7;21300
1692394707623510;26.7;21304
1692394707781739;25.0;21304
